participant_id,cohort,race_simplified,gender_simplified,accent_simplified,audit_eligible,strict_audit_eligible,prolific_recruitment_group,prolific_filter_matches_self_report,age_bin,income_bin,education,gender_self_report,race_self_report_raw,race_other_text,english_proficiency,english_accent_self_report,english_accent_other_text,primary_language,primary_language_other_text,languages_fluent,languages_fluent_other_text,residency_state,residency_other_text,country_childhood,country_childhood_other_text,state_childhood,recording_device,recording_device_other_text,device_brand_model_text,frequency_voice_assistant,frequency_text_assistant,ux_voice,voice_underperform_text,duration_s
P0461,reconsent,White,Male,SAE,True,True,wh_ma,True,35-44,"$40,000 to $49,999",Master's degree,Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Florida,,United States,,New York,Laptop/Computer with external microphone,,Dell PowerEdge T30,Daily or more,Daily or more,Extremely well,There are no ways I can think of that have not performed to my expectations. I am satisfied with my interactions with each.,1652
P0380,reconsent,White,Female,SAE,True,True,wh_fe,True,35-44,"$80,000 to $89,999",High school graduate (high school diploma or equivalent including GED),Woman,White or European American,,I speak English fluently as a second or additional language,Standard American English,,"English,Russian",,English,,Nebraska,,United States,,"Nebraska,South Dakota",Laptop/Computer with external microphone,,Asus Vivobook,"At least once per week, but not every day","At least once per week, but not every day",Very well,"No, sometimes it has gotten confused with cross chatter when being asked a question",1131
P0502,reconsent,White,Male,non-SAE,True,True,wh_ma,True,55-64,"$50,000 to $59,999",Bachelor's degree in college (4-year),Man,White or European American,,I speak English fluently as a first language,Pacific Northwest accent,,English,,English,,Washington,,United States,,Washington,Laptop/Computer with external microphone,,Lenovo desktop,"At least once per week, but not every day","At least once per week, but not every day",Moderately well,Sometimes they get the words wrong when trying to convert speech to text.,1465
P0472,reconsent,White,Male,non-SAE,True,True,wh_ma,True,45-54,"$50,000 to $59,999",High school graduate (high school diploma or equivalent including GED),Man,White or European American,,I speak English fluently as a first language,Midland or Northern Midwest accent,,English,,English,,Ohio,,United States,,Ohio,Laptop/Computer with external microphone,,"Lenovo Legion 5 gaming laptop, Razer Barracuda headphones and microphone",Daily or more,"At least once per week, but not every day",Extremely well,"Siri usually struggles with understanding complex questions, but I don't have any speech related issues.",1560
P0483,reconsent,White,Male,non-SAE,True,True,wh_ma,True,55-64,"$70,000 to $79,999",Some college but no degree,Man,White or European American,,I speak English fluently as a first language,Midland or Northern Midwest accent,,English,,"Russian,Spanish",,Missouri,,United States,,Missouri,Laptop/Computer with external microphone,,HP Pavilion 17,"At least once per week, but not every day",Daily or more,Moderately well,"
I have been using voice mode for Gemini and ChatGPT for about a year or so. At first, it was pretty bad, misunderstanding a lot of what I asked. Lately, it has improved to the point where I prefer it over text when using my mobile phone and for much of my PC interactions when they are short.",2385
P0460,reconsent,White,Male,SAE,True,True,wh_ma,True,45-54,"$30,000 to $39,999",High school graduate (high school diploma or equivalent including GED),Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Ohio,,United States,,Ohio,Smartphone,,iPhone 14 Plus,Daily or more,Daily or more,Extremely well,Not at all,1116
P0462,reconsent,White,Male,SAE,True,True,wh_ma,True,55-64,"$50,000 to $59,999",Some college but no degree,Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Pennsylvania,,United States,,Pennsylvania,Laptop/Computer with external microphone,,Dell Optiplex 3080,"At least once per week, but not every day","At least once per week, but not every day",Very well,The Siri is wrong about 80% of the time now.,2259
P0447,reconsent,White,Male,SAE,True,True,wh_ma,True,55-64,"$20,000 to $29,999",Some college but no degree,Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Minnesota,,United States,,Florida,Smartphone,,iPhone 13 Pro Max,Only a few times,Daily or more,Very well,Sometimes they interrupt while I am still speaking.,2254
P0489,reconsent,White,Male,SAE,True,True,wh_ma,True,25-34,"$100,000 to $149,999",Bachelor's degree in college (4-year),Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Texas,,United States,,Texas,Laptop/Computer with external microphone,,Lenovo chromebook,Only a few times,"At least once per week, but not every day",Very well,Siri was too sensitive for me,2474
P0435,reconsent,White,Female,non-SAE,True,True,wh_fe,True,55-64,"$20,000 to $29,999",Associate degree in college (2-year),Woman,White or European American,,I speak English fluently as a first language,Midland or Northern Midwest accent,,English,,English,,Arkansas,,United States,,Minnesota,Laptop/Computer with built-in microphone,,Lenova Vantage,"At least once per week, but not every day","At least once per week, but not every day",Extremely well,None that I have used. ,2448
P0506,reconsent,White,Male,non-SAE,True,True,wh_ma,True,25-34,"$50,000 to $59,999",High school graduate (high school diploma or equivalent including GED),Man,White or European American,,I speak English fluently as a first language,New England accent,,English,,English,,Maine,,United States,,Maine,Laptop/Computer with built-in microphone,,"Lenovo, 20ASS1PS00",Only a few times,"At least once per week, but not every day",Very well,Sometimes they will cut me off if my speech pauses.,3255
P0417,reconsent,White,Female,non-SAE,True,True,wh_fe,True,35-44,"$60,000 to $69,999",Associate degree in college (2-year),Woman,White or European American,,I speak English fluently as a first language,Southern accent,,English,,English,,Virginia,,United States,,Louisiana,Laptop/Computer with built-in microphone,,HP Stream,"At least once per week, but not every day","At least once per week, but not every day",Extremely well,"nothing really, I have very positive results.",2584
P0470,reconsent,White,Male,SAE,True,True,wh_ma,True,45-54,"$20,000 to $29,999",High school graduate (high school diploma or equivalent including GED),Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Missouri,,United States,,Missouri,Smartphone,,Samsung Galaxy A23,Daily or more,"At least once per week, but not every day",Very well,Not really all the ones I've tried do their job well,1958
P0419,reconsent,White,Female,SAE,True,True,wh_fe,True,45-54,"$40,000 to $49,999",High school graduate (high school diploma or equivalent including GED),Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Missouri,,United States,,Missouri,Tablet,,iPad 16e,Daily or more,Daily or more,Extremely well,When I have to keep saying what I want it to it and it can’t understand ,2129
P0384,reconsent,White,Female,SAE,True,True,wh_fe,True,45-54,"$150,000 or more",Some college but no degree,Woman,"Hispanic or Latino,White or European American",,I speak English fluently as a first language,Standard American English,,English,,English,,North Carolina,,United States,,"Florida,New York",Laptop/Computer with built-in microphone,,I did not use a phone.,Daily or more,Daily or more,Extremely well,"In my personal experience, not as of yet.",3064
P0414,reconsent,White,Female,non-SAE,True,True,wh_fe,True,55-64,"$10,000 to $19,999",Bachelor's degree in college (4-year),Woman,White or European American,,I speak English fluently as a first language,"Southern accent,Standard American English",,English,,English,,Florida,,United States,,Florida,Laptop/Computer with built-in microphone,,iphone 14 plus,"At least once per week, but not every day",Not at all,Extremely well,there are times they misunderstand what i am saying if i am doing talk to text but everyone makes mistakes,1208
P0450,reconsent,White,Male,non-SAE,True,True,wh_ma,True,25-34,"$70,000 to $79,999",Associate degree in college (2-year),Man,White or European American,,I speak English fluently as a first language,"Southern accent,Standard American English",,English,,English,,Texas,,United States,,Texas,Laptop/Computer with built-in microphone,,Alienwear M15X,Only a few times,"At least once per month, but not every week",Moderately well,they sometimes dont always understand every word i say,1250
P0454,reconsent,White,Male,non-SAE,True,True,wh_ma,True,45-54,"$100,000 to $149,999",Bachelor's degree in college (4-year),Man,White or European American,,I speak English fluently as a first language,Southern accent,,English,,English,,Tennessee,,United States,,Tennessee,Laptop/Computer with built-in microphone,,Samsung Galaxy Book 2,"At least once per week, but not every day","At least once per month, but not every week",Moderately well,misunderstanding me,986
P0468,reconsent,White,Male,non-SAE,True,True,wh_ma,True,25-34,"$10,000 to $19,999",High school graduate (high school diploma or equivalent including GED),Man,White or European American,,I speak English fluently as a first language,Mid Atlantic accent,,English,,English,,Pennsylvania,,United States,,Pennsylvania,Laptop/Computer with built-in microphone,,HP Pavilion Laptop 14 ce0xxx ,"At least once per week, but not every day","At least once per week, but not every day",Moderately well,Just sometimes mistaking words for other ones.,2359
P0464,reconsent,White,Male,SAE,True,True,wh_ma,True,45-54,"$100,000 to $149,999",Bachelor's degree in college (4-year),Man,White or European American,,I speak English fluently as a first language,Standard American English,,Other,English,Other,English,Ohio,,United States,,California,Smartphone,,Google Pixel 10,Not at all,Not at all,Moderately well,I'm impressed how well they work but there's typically one typo per statement. My wife uses it all the time and maybe it works better for her than myself due to her higher pitch voice?,2611
P0501,reconsent,White,Male,SAE,True,True,wh_ma,True,45-54,"$100,000 to $149,999",Some college but no degree,Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,New York,,United States,,New York,Smartphone,,Samsung Galaxy A20,Only a few times,"At least once per week, but not every day",Very well,Sometimes they don't understand the question or give an answer that I did not expect. ,3622
P0388,reconsent,White,Female,non-SAE,True,True,wh_fe,True,45-54,"$100,000 to $149,999",Master's degree,Woman,White or European American,,I speak English fluently as a first language,Southern accent,,English,,"Spanish,Other","Spanish, Italian",Texas,,United States,,Texas,Laptop/Computer with built-in microphone,,Macbook Air,"At least once per week, but not every day","At least once per week, but not every day",Very well,sometimes it gets the word wrong because it doesn't take into account the context. ,998
P0495,reconsent,White,Male,non-SAE,True,True,wh_ma,True,35-44,"$90,000 to $99,999",Doctoral degree,Man,White or European American,,I speak English fluently as a first language,Mid Atlantic accent,,English,,English,,Maryland,,United States,,Maryland,Laptop/Computer with built-in microphone,,hp laptop 15,"At least once per week, but not every day",Daily or more,Very well,"no, they do well",1931
P0476,reconsent,White,Male,non-SAE,True,True,wh_ma,True,45-54,"$50,000 to $59,999",Associate degree in college (2-year),Man,White or European American,,I speak English fluently as a first language,Midland or Northern Midwest accent,,English,,English,,Illinois,,United States,,Illinois,Laptop/Computer with external microphone,,Dell G5,Only a few times,Daily or more,Moderately well,"I don't use these systems because I think they are too invasive. Why is this survey so long? I spent over 40 minutes on it, and it is supposed to be 20 minutes!",2735
P0413,reconsent,White,Female,non-SAE,True,True,wh_fe,True,65-74,"$30,000 to $39,999",Bachelor's degree in college (4-year),Woman,White or European American,,I speak English fluently as a first language,California accent,,English,,English,,Arizona,,United States,,California,Smartphone,,iPhone 13 Pro Max,Daily or more,Daily or more,Very well,No. I have a typical west coast accent.,1568
P0452,reconsent,White,Male,SAE,True,True,wh_ma,True,25-34,"$20,000 to $29,999",Some college but no degree,Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Colorado,,United States,,Colorado,Laptop/Computer with built-in microphone,,acer chromebook,"At least once per week, but not every day","At least once per week, but not every day",Moderately well,,2463
P0500,reconsent,White,Male,non-SAE,True,True,wh_ma,True,45-54,"$60,000 to $69,999",Doctoral degree,Man,White or European American,,I speak English fluently as a second or additional language,"Any non-American accent (British, European, Asian, African, etc)",Russian,Russian,,"English,German,Russian",,Florida,,Other (Please specify),Belarus,,Laptop/Computer with external microphone,,USB camera,"At least once per week, but not every day",Daily or more,Moderately well,"Yes, they have not understood a request or tried to start speaking during a pause in my statement",987
P0508,reconsent,White,Male,non-SAE,True,True,wh_ma,True,45-54,"$100,000 to $149,999",Bachelor's degree in college (4-year),Man,White or European American,,I speak English fluently as a first language,New England accent,,English,,English,,New York,,United States,,New York,Laptop/Computer with built-in microphone,,MacBook Air,"At least once per week, but not every day",Only a few times,Very well,None that I recall. They generally do understand what I say and give me what I need. ,1357
P0463,reconsent,White,Male,non-SAE,True,True,wh_ma,True,35-44,"$100,000 to $149,999","Professional degree (JD, MD)",Man,White or European American,,I speak English fluently as a first language,Midland or Northern Midwest accent,,English,,English,,Missouri,,United States,,Missouri,Laptop/Computer with built-in microphone,,dell latitude 3310,Daily or more,"At least once per week, but not every day",Moderately well,sometimes they dont understand my voice or what i am asking,2228
P0383,reconsent,White,Female,SAE,True,True,wh_fe,True,45-54,"$100,000 to $149,999",High school graduate (high school diploma or equivalent including GED),Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Ohio,,United States,,Ohio,Smartphone,,Samsung s24 ultra ,"At least once per week, but not every day","At least once per week, but not every day",Moderately well,Actually I've asked Alexa a question she'll say sorry cant answer ,1789
P0492,reconsent,White,Male,non-SAE,True,True,wh_ma,True,45-54,"$100,000 to $149,999",Associate degree in college (2-year),Man,White or European American,,I speak English fluently as a first language,Southern accent,,English,,English,,Florida,,United States,,Georgia,Laptop/Computer with built-in microphone,,lenovo laptop ,Daily or more,Daily or more,Moderately well,typo's where voice texting sometimes ,2269
P0484,reconsent,White,Male,SAE,True,True,wh_ma,True,55-64,"$50,000 to $59,999",Some college but no degree,Man,"Hispanic or Latino,White or European American",,I speak English fluently as a first language,Standard American English,,English,,Spanish,,Florida,,United States,,New Jersey,Laptop/Computer with external microphone,,Windows 11 HP Laptop,Daily or more,Daily or more,Moderately well,When they respond and I didn't ask them a question.,1214
P0459,reconsent,White,Male,SAE,True,True,wh_ma,True,35-44,"$100,000 to $149,999",Master's degree,Man,White or European American,,I speak English fluently as a first language,Standard American English,,"English,Signed Language",,English,,Missouri,,United States,,Missouri,Smartphone,,Google Pixel 8 Pro,Daily or more,Daily or more,Extremely well,"Sometimes it didn't recognize what I say, but 98% of the time it's perfect",1187
P0512,reconsent,White,Male,non-SAE,True,True,wh_ma,True,25-34,"$100,000 to $149,999",Associate degree in college (2-year),Man,Hispanic or Latino,,I speak English fluently as a first language,"Latino, Hispanic, or Chicano English",,"English,Spanish",,"English,Spanish",,California,,United States,,California,Laptop/Computer with built-in microphone,,Macbook Pro M1 2020,"At least once per week, but not every day","At least once per week, but not every day",Extremely well,Sometimes when I don't speak loud enough or too fast it will give me the wrong response.,1508
P0467,reconsent,White,Male,non-SAE,True,True,wh_ma,True,65-74,"$100,000 to $149,999",Bachelor's degree in college (4-year),Man,White or European American,,I speak English fluently as a first language,New England accent,,English,,English,,Connecticut,,United States,,New York,Laptop/Computer with external microphone,,Dell Inspiron,Daily or more,Daily or more,Extremely well,They do not hear me often,3214
P0446,reconsent,White,Male,non-SAE,True,True,wh_ma,True,65-74,"$90,000 to $99,999",Bachelor's degree in college (4-year),Man,White or European American,,I speak English fluently as a first language,Midland or Northern Midwest accent,,English,,English,,Wisconsin,,United States,,Wisconsin,Laptop/Computer with built-in microphone,,"Apple, iMac, 2.5 GHz Intel Core i5, desktop computer, 21.5-inch display.","At least once per week, but not every day",Daily or more,Very well,"I have, lately, found speech-based systems to be surprisingly accurate in my own daily life, my own personal use, my business related use. Any underperformance in my daily use seems to stem from a possible legacy design (with some previous experiences) or what I have sometimes observed in some speech-based system's inability to handle follow-up questions as well other models I have recently tried. ",2872
P0509,reconsent,White,Male,non-SAE,True,True,wh_ma,True,25-34,"$60,000 to $69,999",Some college but no degree,Man,White or European American,,I speak English fluently as a first language,Midland or Northern Midwest accent,,English,,English,,Pennsylvania,,United States,,Pennsylvania,Laptop/Computer with external microphone,,Macbook Air M2,"At least once per week, but not every day",Daily or more,Moderately well,Not understanding what I am asking or providing outdated information. ,1945
P0491,reconsent,White,Male,SAE,True,True,wh_ma,True,35-44,"$10,000 to $19,999",Master's degree,Man,"Hispanic or Latino,Native American or Alaska Native,White or European American",,I speak English fluently as a first language,Standard American English,,English,,English,,Delaware,,United States,,Delaware,Smartphone,,TCL 10 5G UW,Only a few times,Daily or more,Moderately well,"When it comes to playing music, they have major limitations on the type of music they can play. Sometimes, they mishear the name of the artist or track, as well.",2106
P0343,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,25-34,"$80,000 to $89,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,"African American English,Standard American English",,English,,English,,Maryland,,United States,,Maryland,Laptop/Computer with built-in microphone,,Acer Chrombook Plus 514,Daily or more,Daily or more,Extremely well,Maybe not always being as able to capture information like text-bots.,782
P0362,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"$150,000 or more",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,"African American English,New England accent",,English,,English,,Florida,,United States,,Florida,Laptop/Computer with built-in microphone,,Lenova Yoga 7 2in1,Daily or more,Daily or more,Moderately well,"Not understanding certain words, or a question I am asking.",1210
P0323,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"$150,000 or more",Master's degree,Man,Black or African American,,I speak English fluently as a first language,"African American English,Midland or Northern Midwest accent,California accent",,English,,English,,North Carolina,,United States,,"Arizona,Indiana",Laptop/Computer with external microphone,,IBM ThinkPad,Daily or more,"At least once per week, but not every day",Very well,Alexa,1322
P0324,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,25-34,"$50,000 to $59,999",Some college but no degree,Man,Black or African American,,I speak English fluently as a first language,"African American English,Southern accent",,English,,English,,Texas,,United States,,Michigan,Laptop/Computer with external microphone,,CyberPower PC Prism 360V AMD Ryzen 7 8700F 8-Core Processor    ,"At least once per week, but not every day","At least once per month, but not every week",Moderately well,Sometimes they don't understand or they misinterpret what I say because of how I talk.,1850
P0368,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,25-34,"$80,000 to $89,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Pennsylvania,,United States,,New York,Smartphone,,iPhone 14,"At least once per month, but not every week","At least once per month, but not every week",Extremely well,No they usually do a good job hearing what I say,1082
P0347,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"$100,000 to $149,999",Some college but no degree,Man,Black or African American,,I speak English fluently as a first language,California accent,,English,,English,,California,,United States,,California,Laptop/Computer with built-in microphone,,Lenovo IdeaPad,"At least once per week, but not every day",Daily or more,Very well,I've been given unrelated answers or things that don't match what I asked for.,2221
P0357,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,18-24,"$150,000 or more",Master's degree,Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,German,,Texas,,United States,,Alabama,Laptop/Computer with built-in microphone,,HP Elitebook X2,Daily or more,Daily or more,Very well,"No, it is just perfect.",1708
P0361,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,45-54,"$50,000 to $59,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,North Carolina,,United States,,New Jersey,Laptop/Computer with built-in microphone,,windows 11 pc,Daily or more,Daily or more,Very well,incorrect spellings misspelled words words with the same sounds,1990
P0355,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,55-64,"$60,000 to $69,999",Master's degree,Man,Black or African American,,I speak English fluently as a first language,California accent,,English,,English,,Ohio,,United States,,California,Laptop/Computer with built-in microphone,,HP laptop 15,Not at all,"At least once per week, but not every day",Slightly well,poor word recognition/choosing the wrong word/misunderstanding,2323
P0326,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"$40,000 to $49,999",High school graduate (high school diploma or equivalent including GED),Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Florida,,United States,,Florida,Laptop/Computer with built-in microphone,,Macbook Pro 14 inch 2021,Daily or more,Daily or more,Very well,"No, not really",2412
P0369,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"$20,000 to $29,999",Associate degree in college (2-year),Man,Black or African American,,I speak English fluently as a first language,"African American English,Southern accent",,English,,English,,Texas,,United States,,Texas,Smartphone,,Samsung Galaxy A12,Only a few times,Only a few times,Moderately well,"Not really, especially since I haven't used them enough to say.",2342
P0350,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,45-54,"$70,000 to $79,999",Some college but no degree,Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Illinois,,United States,,"Illinois,Indiana",Laptop/Computer with external microphone,,iphone 17 pro max,Daily or more,Daily or more,Extremely well,no,1566
P0332,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,45-54,"$50,000 to $59,999",Master's degree,Man,Black or African American,,I speak English fluently as a first language,"African American English,Standard American English",,English,,English,,Illinois,,United States,,Illinois,Laptop/Computer with built-in microphone,,HP Laptop 14-dq0xxx,"At least once per week, but not every day",Daily or more,Extremely well,Sometimes they have a hard time filtering out background noise and may get the question wrong. ,2459
P0340,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,65-74,"$40,000 to $49,999",Some college but no degree,Man,Black or African American,,I speak English fluently as a first language,"African American English,Standard American English",,English,,English,,Colorado,,United States,,"District of Columbia,Kansas",Laptop/Computer with external microphone,,"Dell Victus Laptop 15""","At least once per week, but not every day","At least once per week, but not every day",Extremely well,Not really they usual get the words right even if i make a mistake while telling them what i am looking for.  The only underperformance i get they get the wrong answer. ,1242
P0367,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"$70,000 to $79,999",Master's degree,Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,California,,United States,,California,Laptop/Computer with built-in microphone,,HP,Only a few times,"At least once per week, but not every day",Very well,No,2748
P0349,reconsent,Black,Male,SAE,True,True,bl_ma,True,55-64,"$40,000 to $49,999",Bachelor's degree in college (4-year),Man,"Black or African American,Native American or Alaska Native",,I speak English fluently as a first language,Standard American English,,English,,English,,Georgia,,United States,,North Carolina,Laptop/Computer with built-in microphone,,11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz (2.19 GHz),"At least once per week, but not every day",Daily or more,Very well,When they don't input exactly what I say.  They put in other words that sometimes don't even sound close to what I say.  And also proper names sometimes can be a problem.  ,1741
P0366,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,75 or older,"$10,000 to $19,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,Midland or Northern Midwest accent,,English,,English,,Massachusetts,,United States,,Michigan,Smartphone,,Samsung Galaxy A13 5G,Only a few times,Not at all,Very well,No,1590
P0370,reconsent,Black,Male,SAE,True,True,bl_ma,True,25-34,"$20,000 to $29,999",Some college but no degree,Man,Black or African American,,I speak English fluently as a first language,Standard American English,,English,,English,,California,,United States,,California,Laptop/Computer with built-in microphone,,Iphone 14,Daily or more,Daily or more,Moderately well,No,3473
P0360,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"$50,000 to $59,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,"African American English,Mid Atlantic accent",,English,,English,,New York,,United States,,New York,Laptop/Computer with built-in microphone,,"Macbook air 15-inch, M4, 2025",Daily or more,Daily or more,Slightly well,They need very clear articulation. which they might even have to go as far as to help people develop some  ,1280
P0371,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,25-34,"$10,000 to $19,999",Some college but no degree,Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Tennessee,,United States,,Tennessee,Smartphone,,Samsung galaxy s21 ,"At least once per week, but not every day","At least once per week, but not every day",Very well,Sometimes it doesn't catch some of the words I say or auto corrects me,1818
P0327,reconsent,Black,Male,SAE,True,True,bl_ma,True,45-54,"$100,000 to $149,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,Standard American English,,English,,English,,South Carolina,,United States,,"Alabama,Florida,Georgia,Virginia",Laptop/Computer with built-in microphone,,Lenovo laptop ,Daily or more,Daily or more,Extremely well,no,1265
P0339,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"$10,000 to $19,999",Some college but no degree,Man,Black or African American,,I speak English fluently as a first language,"African American English,Standard American English",,English,,English,,California,,United States,,Texas,Laptop/Computer with external microphone,,"Onn wired gaming headset. 

On a Dell Wyse Computer. ",Not at all,Daily or more,Not well at all,N/A.,1220
P0351,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,25-34,"$90,000 to $99,999",High school graduate (high school diploma or equivalent including GED),Man,Black or African American,,I speak English fluently as a first language,"African American English,Mid Atlantic accent,Southern accent",,English,,English,,Maryland,,United States,,Maryland,Laptop/Computer with external microphone,,HP Omen 35L,Daily or more,Daily or more,Moderately well,I think they struggle to understand my accent when saying words. Which makes the prompt I give them invalid. ,1462
P0321,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,25-34,"Less than $10,000",Some college but no degree,Man,Black or African American,,I speak English fluently as a first language,"African American English,Southern accent,Standard American English",,English,,English,,Georgia,,United States,,Georgia,Laptop/Computer with built-in microphone,,hp intel,Not at all,Not at all,Not well at all,"no, nothing specific. I do no use them
",5246
P0354,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"$60,000 to $69,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,"African American English,Standard American English",,English,,English,,California,,United States,,District of Columbia,Laptop/Computer with built-in microphone,,Samsung Galaxy S22 Ultra ,"At least once per week, but not every day","At least once per week, but not every day",Moderately well,There have been moments when common words or phrases have been misunderstood or misinterpreted.,2479
P0346,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"$30,000 to $39,999",Some college but no degree,Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Alabama,,United States,,Alabama,Smartphone,,iPhone 14,Daily or more,"At least once per week, but not every day",Very well,Not that I can think of ,3381
P0325,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"$60,000 to $69,999",Bachelor's degree in college (4-year),Man,"Black or African American,Hispanic or Latino",,I speak English fluently as a first language,African American English,,English,,English,,California,,United States,,New York,Laptop/Computer with external microphone,,"Rzaer Seiren mic, HP OMEN PC",Daily or more,"At least once per week, but not every day",Very well,turning the lights on and off in my house,1199
P0352,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,25-34,"$40,000 to $49,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,"African American English,Latino, Hispanic, or Chicano English,Southern accent,Midland or Northern Midwest accent,Any non-American accent (British, European, Asian, African, etc)",Normal East coast,English,,English,,Illinois,,United States,,"Georgia,Virginia",Laptop/Computer with built-in microphone,,Dell 3180 chromebook 11,"At least once per week, but not every day","At least once per week, but not every day",Moderately well,maybe with the cost,3535
P0336,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,55-64,"$60,000 to $69,999",Master's degree,Man,Black or African American,,I speak English fluently as a first language,New England accent,,English,,English,,Connecticut,,United States,,Connecticut,Laptop/Computer with built-in microphone,,acer windows 8,Only a few times,Only a few times,Moderately well,No there are not. ,2290
P0334,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,25-34,"$30,000 to $39,999",Some college but no degree,Man,Black or African American,,I speak English fluently as a first language,"African American English,Mid Atlantic accent",,English,,English,,Pennsylvania,,United States,,Pennsylvania,Laptop/Computer with built-in microphone,,HP Pavilion x360,"At least once per week, but not every day","At least once per month, but not every week",Very well,"not really, sometimes they just will not have the feature I am asking them for, but that's about it.",1724
P0331,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,18-24,"$50,000 to $59,999",High school graduate (high school diploma or equivalent including GED),Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Indiana,,United States,,Indiana,Smartphone,,iPhone 14,"At least once per week, but not every day",Daily or more,Slightly well,They never answer to my voice for some reason ,1050
P0342,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,45-54,"$10,000 to $19,999",Some college but no degree,Man,"Black or African American,Hispanic or Latino",,I speak English fluently as a first language,"Mid Atlantic accent,Midland or Northern Midwest accent,Standard American English",,English,,"English,Spanish",,Minnesota,,United States,,Maryland,Laptop/Computer with built-in microphone,,HP Intel Core i3 7th Gen,"At least once per week, but not every day",Daily or more,Extremely well,"For the roughly last 2 years, I've found speech-based systems to be nearly perfect for my use case.",1323
P0319,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,55-64,"Less than $10,000",Some college but no degree,Man,"Black or African American,White or European American,Some other race, ethnicity, or origin (Please specify)",Biracial Afro Caribbean American / White European American,I speak English fluently as a first language,Mid Atlantic accent,,English,,English,,Maryland,,Other (Please specify),Jamaica,,Laptop/Computer with external microphone,,Acer Chromebook 315,Not at all,"At least once per week, but not every day",Not well at all,"I have never used a speech based system on my devices, so I cannot say that they underperformed, but only did not perform.  I answered the last question to indicate ""Not well at all"", because there was no performance to judge, so that was the most accurate response, by default.",3901
